0:0:0:0:0:0:0:1 - - [02/Jun/2023:19:57:48 +0530] "GET /OnlineExpenseTracker/index.jsp HTTP/1.1" 200 3034
0:0:0:0:0:0:0:1 - - [02/Jun/2023:19:57:48 +0530] "GET /OnlineExpenseTracker/image/ex2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2023:19:57:48 +0530] "GET /OnlineExpenseTracker/image/ex1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2023:19:57:48 +0530] "GET /OnlineExpenseTracker/ex3.png HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [02/Jun/2023:19:58:35 +0530] "GET /OnlineExpenseTracker/index.jsp HTTP/1.1" 200 3040
0:0:0:0:0:0:0:1 - - [02/Jun/2023:19:58:35 +0530] "GET /OnlineExpenseTracker/image/ex1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2023:19:58:35 +0530] "GET /OnlineExpenseTracker/image/ex3.png HTTP/1.1" 200 982123
0:0:0:0:0:0:0:1 - - [02/Jun/2023:19:58:35 +0530] "GET /OnlineExpenseTracker/image/ex2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2023:19:58:51 +0530] "GET /OnlineExpenseTracker/index.jsp HTTP/1.1" 200 3040
0:0:0:0:0:0:0:1 - - [02/Jun/2023:19:58:51 +0530] "GET /OnlineExpenseTracker/image/ex3.png HTTP/1.1" 304 -
